datum,bodovi,link
otkazano,"1. set: 29:27
     2. set: 25:18
     3. set: 22:25
     4. set: 20:25
     5. set: 10:15
     ukupno: 106:110",OK KITRO VARAŽDIN  – OK SISAK
"Vrijeme početka: subota, 15. veljače 2020. u 19,00","1. set: 17:25
     2. set: 15:25
     3. set: 17:25
     ukupno: 49:75",OK SISAK – MOK RIJEKA
"Vrijeme početka: subota, 26. listopada 2019. u 18,00","1. set: 25:15
     2. set: 24:26
     3. set: 25:16
     4. set: 21:25
     5. set: 15:12
     ukupno: 110:94",OK ROVINJ – OK ZADAR
"Vrijeme početka: subota, 12. listopada 2019. u 19,00","1. set: 19:25
     2. set: 15:25
     3. set: 19:25
     ukupno: 53:75",OK ROVINJ – MOK RIJEKA
"Vrijeme početka: subota, 14. prosinca 2019. u 18,00","1. set: 26:24
     2. set: 25:16
     3. set: 25:22
     ukupno: 76:62",OKM CENTROMETAL – OK MEDICINAR TRNJE
otkazano,"1. set: 25:18
     2. set: 25:10
     3. set: 25:23
     ukupno: 75:51",OKM CENTROMETAL – MOK MARSONIA
otkazano,"Natjecanje:  SUPERLIGA – 2. SKUPINA (II. DIO) – seniori (2019./2020.),  6. kolo",OK MEDICINAR TRNJE – OK SISAK
otkazano,"1. set: 25:20
     2. set: 25:19
     3. set: 25:12
     ukupno: 75:51",OK SPLIT – OK SISAK
"Vrijeme početka: subota, 14. prosinca 2019. u 20,00","1. set: 19:25
     2. set: 26:24
     3. set: 21:25
     4. set: 25:17
     5. set: 12:15
     ukupno: 103:106",MOK MURSA - OSIJEK – OK SPLIT
otkazano,"1. set: 18:25
     2. set: 17:25
     3. set: 19:25
     ukupno: 54:75",OK SISAK – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 9. studenog 2019. u 18,00","1. set: 25:22
     2. set: 16:25
     3. set: 9:25
     4. set: 17:25
     ukupno: 67:97",OK ROVINJ – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 19. listopada 2019. u 18,00","1. set: 25:23
     2. set: 25:18
     3. set: 25:19
     ukupno: 75:60",OKM CENTROMETAL – OK SPLIT
"Vrijeme početka: subota, 21. prosinca 2019. u 19,30","1. set: 20:25
     2. set: 24:26
     3. set: 25:17
     4. set: 25:23
     5. set: 15:13
     ukupno: 109:104",MOK MURSA - OSIJEK – OK KITRO VARAŽDIN
otkazano,"Natjecanje:  SUPERLIGA – 1. SKUPINA (II. DIO) – seniori (2019./2020.),  6. kolo",OK MLADOST RIBOLA KAŠTELA – MOK MURSA - OSIJEK
otkazano,"1. set: 25:16
     2. set: 25:19
     3. set: 24:26
     4. set: 25:22
     ukupno: 99:83",OK SISAK – OK SPLIT
otkazano,"1. set: 25:23
     2. set: 25:18
     3. set: 25:22
     ukupno: 75:63",MOK MARSONIA – OK ZADAR
"Vrijeme početka: subota, 12. listopada 2019. u 20,00","1. set: 25:21
     2. set: 17:25
     3. set: 19:25
     4. set: 22:25
     ukupno: 83:96",MOK MARSONIA – OK SISAK
"Vrijeme početka: nedjelja, 27. listopada 2019. u 18,00","1. set: 19:25
     2. set: 12:25
     3. set: 31:29
     4. set: 11:25
     ukupno: 73:104",MOK MARSONIA – OK KITRO VARAŽDIN
otkazano,"1. set: 20:25
     2. set: 19:25
     3. set: 15:25
     ukupno: 54:75",OK ZADAR – OKM CENTROMETAL
"Vrijeme početka: subota, 15. veljače 2020. u 20,00","1. set: 25:21
     2. set: 21:25
     3. set: 17:25
     4. set: 16:25
     ukupno: 79:96",OK ROVINJ – OK SPLIT
otkazano,"1. set: 25:15
     2. set: 24:26
     3. set: 25:16
     4. set: 21:25
     5. set: 15:12
     ukupno: 110:94",OK ROVINJ – OK ZADAR
"Vrijeme početka: subota, 26. listopada 2019. u 19,30","1. set: 25:18
     2. set: 20:25
     3. set: 17:25
     4. set: 25:19
     5. set: 15:13
     ukupno: 102:100",MOK MURSA - OSIJEK – OKM CENTROMETAL
"Vrijeme početka: subota, 1. veljače 2020. u 18,30","1. set: 25:23
     2. set: 22:25
     3. set: 26:24
     4. set: 25:11
     ukupno: 98:83",MOK RIJEKA – OKM CENTROMETAL
"Vrijeme početka: nedjelja, 10. studenog 2019. u 18,00","1. set: 27:25
     2. set: 25:23
     3. set: 25:15
     ukupno: 77:63",OK SPLIT – OK ZADAR
otkazano,"Natjecanje:  SUPERLIGA – 1. SKUPINA (II. DIO) – seniori (2019./2020.),  6. kolo",HAOK MLADOST – MOK RIJEKA
"Vrijeme početka: subota, 30. studenog 2019. u 19,00","1. set: 17:25
     2. set: 10:25
     3. set: 25:20
     4. set: 15:25
     ukupno: 67:95",OK ROVINJ – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 7. ožujka 2020. u 18,00","1. set: 25:17
     2. set: 25:17
     3. set: 25:23
     ukupno: 75:57",HAOK MLADOST – MOK MURSA - OSIJEK
otkazano,"1. set: 20:25
     2. set: 22:25
     3. set: 14:25
     ukupno: 56:75",OK ROVINJ – MOK MARSONIA
"Vrijeme početka: subota, 15. veljače 2020. u 19,00","1. set: 15:25
     2. set: 15:25
     3. set: 23:25
     ukupno: 53:75",MOK MARSONIA – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 23. studenog 2019. u 18,00","1. set: 25:17
     2. set: 32:30
     3. set: 25:15
     ukupno: 82:62",MOK MURSA - OSIJEK – MOK MARSONIA
"Vrijeme početka: subota, 8. veljače 2020. u 17,00","1. set: 25:17
     2. set: 25:18
     3. set: 25:20
     ukupno: 75:55",MOK MURSA - OSIJEK – OK ZADAR
otkazano,"1. set: 20:25
     2. set: 9:25
     3. set: 16:25
     ukupno: 45:75",OK ROVINJ – OKM CENTROMETAL
"Vrijeme početka: subota, 7. prosinca 2019. u 19,30","1. set: 25:9
     2. set: 25:13
     3. set: 25:15
     ukupno: 75:37",MOK RIJEKA – MOK MARSONIA
otkazano,"1. set: 18:25
     2. set: 26:24
     3. set: 25:13
     4. set: 25:9
     ukupno: 94:71",OK ZADAR – OK ROVINJ
"Vrijeme početka: subota, 7. ožujka 2020. u 19,00","1. set: 25:19
     2. set: 20:25
     3. set: 21:25
     4. set: 21:25
     ukupno: 87:94",MOK MARSONIA – OK ZADAR
"Vrijeme početka: subota, 18. siječnja 2020. u 19,00","1. set: 20:25
     2. set: 22:25
     3. set: 14:25
     ukupno: 56:75",OK ROVINJ – MOK MARSONIA
otkazano,"1. set: 23:25
     2. set: 19:25
     3. set: 25:23
     4. set: 23:25
     ukupno: 90:98",OK SISAK – OK MEDICINAR TRNJE
"Vrijeme početka: subota, 8. veljače 2020. u 19,00","1. set: 25:12
     2. set: 25:9
     3. set: 25:14
     ukupno: 75:35",OK SPLIT – MOK MARSONIA
"Vrijeme početka: subota, 1. veljače 2020. u 19,00","1. set: 19:25
     2. set: 25:13
     3. set: 25:21
     4. set: 22:25
     5. set: 8:15
     ukupno: 99:99",OK ZADAR – OK SPLIT
otkazano,"Natjecanje:  SUPERLIGA – 2. SKUPINA (II. DIO) – seniori (2019./2020.),  4. kolo",OK MEDICINAR TRNJE – OK KITRO VARAŽDIN
"Vrijeme početka: nedjelja, 10. studenog 2019. u 13,00","1. set: 25:19
     2. set: 25:23
     3. set: 25:19
     ukupno: 75:61",OK MEDICINAR TRNJE – MOK MARSONIA
"Vrijeme početka: subota, 22. veljače 2020. u 17,00","1. set: 25:23
     2. set: 25:22
     3. set: 28:26
     ukupno: 78:71",OK SPLIT – OK MEDICINAR TRNJE
"Vrijeme početka: srijeda, 15. siječnja 2020. u 19,00","1. set: 25:21
     2. set: 23:25
     3. set: 17:25
     4. set: 25:13
     5. set: 16:14
     ukupno: 106:98",OKM CENTROMETAL – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 2. studenog 2019. u 18,30","1. set: 22:25
     2. set: 25:23
     3. set: 25:20
     4. set: 22:25
     5. set: 15:9
     ukupno: 109:102",MOK RIJEKA – MOK MURSA - OSIJEK
otkazano,"1. set: 25:20
     2. set: 25:19
     3. set: 24:26
     4. set: 25:22
     ukupno: 99:87",OK KITRO VARAŽDIN  – OK MEDICINAR TRNJE
"Vrijeme početka: subota, 19. listopada 2019. u 18,30","1. set: 31:29
     2. set: 25:23
     3. set: 23:25
     4. set: 21:25
     5. set: 12:15
     ukupno: 112:117",OK ROVINJ – OK SISAK
"Vrijeme početka: subota, 30. studenog 2019. u 14,45","1. set: 23:25
     2. set: 20:25
     3. set: 20:25
     ukupno: 63:75",OK MEDICINAR TRNJE – OK SPLIT
"Dvorana: 
							GSD Varaždin (Arena Varaždin)","1. set: 25:23
     2. set: 25:19
     3. set: 22:25
     4. set: 14:25
     5. set: 15:17
     ukupno: 101:109",OK KITRO VARAŽDIN  – OK SPLIT
Boja dresova domaćina: ŽUTA,"Natjecanje:  SUPERLIGA – 1. SKUPINA (II. DIO) – seniori (2019./2020.),  3. kolo",HAOK MLADOST – OK MLADOST RIBOLA KAŠTELA
otkazano,"Natjecanje:  SUPERLIGA – 1. SKUPINA (II. DIO) – seniori (2019./2020.),  5. kolo",MOK MURSA - OSIJEK – HAOK MLADOST
"Vrijeme početka: nedjelja, 16. veljače 2020. u 17,00","1. set: 25:20
     2. set: 25:19
     3. set: 24:26
     4. set: 25:22
     ukupno: 99:87",OK KITRO VARAŽDIN  – OK MEDICINAR TRNJE
"Vrijeme početka: subota, 23. studenog 2019. u 13,00","1. set: 25:22
     2. set: 25:19
     3. set: 25:21
     ukupno: 75:62",OK MEDICINAR TRNJE – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 21. prosinca 2019. u 19,00","1. set: 25:22
     2. set: 22:25
     3. set: 29:27
     4. set: 25:13
     ukupno: 101:87",OK SISAK – OK ROVINJ
Boja dresova domaćina: BIJELA,"Natjecanje:  SUPERLIGA – 1. SKUPINA (II. DIO) – seniori (2019./2020.),  3. kolo",MOK RIJEKA – MOK MURSA - OSIJEK
Boja dresova domaćina: ŽUTA,"Natjecanje:  SUPERLIGA – 3. SKUPINA (II. DIO) – seniori (2019./2020.),  2. kolo",OK ROVINJ – MOK MARSONIA
"Vrijeme početka: subota, 30. studenog 2019. u 19,00","1. set: 25:21
     2. set: 25:23
     3. set: 14:25
     4. set: 26:28
     5. set: 15:13
     ukupno: 105:110",MOK MARSONIA – OKM CENTROMETAL
Boja dresova domaćina: PLAVA,"Natjecanje:  SUPERLIGA – 2. SKUPINA (II. DIO) – seniori (2019./2020.),  2. kolo",OK SISAK – OK MEDICINAR TRNJE
"Vrijeme početka: subota, 23. studenog 2019. u 17,00","1. set: 25:22
     2. set: 25:12
     3. set: 25:17
     ukupno: 75:51",OK SPLIT – OK ROVINJ
"Vrijeme početka: četvrtak, 16. siječnja 2020. u 20,00","1. set: 23:25
     2. set: 19:25
     3. set: 25:23
     4. set: 23:25
     ukupno: 90:98",OK SISAK – OK MEDICINAR TRNJE
otkazano,"1. set: 25:21
     2. set: 25:18
     3. set: 25:18
     ukupno: 75:57",OK SPLIT – OK KITRO VARAŽDIN
otkazano,"1. set: 25:21
     2. set: 25:23
     3. set: 14:25
     4. set: 26:28
     5. set: 15:13
     ukupno: 105:110",MOK MARSONIA – OKM CENTROMETAL
"Vrijeme početka: subota, 18. siječnja 2020. u 19,30","1. set: 25:23
     2. set: 25:23
     3. set: 27:25
     ukupno: 77:71",MOK MURSA - OSIJEK – MOK RIJEKA
"Vrijeme početka: subota, 1. veljače 2020. u 19,00","1. set: 24:26
     2. set: 25:18
     3. set: 25:20
     4. set: 25:27
     5. set: 13:15
     ukupno: 112:106",OK SISAK – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 22. veljače 2020. u 17,00","1. set: 25:18
     2. set: 25:22
     3. set: 25:20
     ukupno: 75:60",MOK MURSA - OSIJEK – OK ROVINJ
otkazano,"1. set: 25:19
     2. set: 25:22
     3. set: 24:26
     4. set: 27:29
     5. set: 10:15
     ukupno: 111:111",OK ZADAR – MOK MARSONIA
otkazano,"Natjecanje:  SUPERLIGA – 3. SKUPINA (II. DIO) – seniori (2019./2020.),  6. kolo",OKM CENTROMETAL – OK ZADAR
"Vrijeme početka: subota, 26. listopada 2019. u 17,00","1. set: 20:25
     2. set: 21:25
     3. set: 14:25
     ukupno: 55:75",OK SPLIT – MOK RIJEKA
otkazano,"Natjecanje:  SUPERLIGA – 3. SKUPINA (II. DIO) – seniori (2019./2020.),  5. kolo",OK ZADAR – MOK MARSONIA
"Vrijeme početka: subota, 12. listopada 2019. u 17,00","1. set: 25:23
     2. set: 12:25
     3. set: 25:16
     4. set: 26:24
     ukupno: 88:88",OK ZADAR – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 12. listopada 2019. u 18,00","1. set: 14:25
     2. set: 25:21
     3. set: 25:16
     4. set: 12:25
     5. set: 10:15
     ukupno: 86:102",OK SPLIT – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 21. prosinca 2019. u 20,00","1. set: 24:26
     2. set: 19:25
     3. set: 14:25
     ukupno: 57:76",OK MEDICINAR TRNJE – MOK RIJEKA
Boja dresova domaćina: CRNA,"Natjecanje:  SUPERLIGA – 2. SKUPINA (II. DIO) – seniori (2019./2020.),  3. kolo",OK SPLIT – OK SISAK
"Vrijeme početka: subota, 8. veljače 2020. u 20,15","1. set: 20:25
     2. set: 25:23
     3. set: 25:12
     4. set: 25:13
     ukupno: 95:73",OK MEDICINAR TRNJE – OK ROVINJ
"Vrijeme početka: subota, 2. studenog 2019. u 19,00","1. set: 25:22
     2. set: 25:14
     3. set: 26:24
     ukupno: 76:60",MOK MARSONIA – OK ROVINJ
"Vrijeme početka: subota, 18. siječnja 2020. u 18,00","1. set: 25:20
     2. set: 21:25
     3. set: 19:25
     4. set: 22:25
     ukupno: 87:95",OKM CENTROMETAL – OK KITRO VARAŽDIN
Boja dresova domaćina: CRVENO CRNA,"Natjecanje:  SUPERLIGA – 2. SKUPINA (II. DIO) – seniori (2019./2020.),  3. kolo",OK KITRO VARAŽDIN  – OK MEDICINAR TRNJE
"Vrijeme početka: subota, 7. prosinca 2019. u 18,00","1. set: 25:13
     2. set: 25:15
     3. set: 25:17
     ukupno: 75:45",OKM CENTROMETAL – OK ROVINJ
"Vrijeme početka: petak, 20. prosinca 2019. u 18,00","1. set: 25:23
     2. set: 25:18
     3. set: 25:22
     ukupno: 75:63",MOK MARSONIA – OK ZADAR
"Vrijeme početka: subota, 19. listopada 2019. u 17,00","1. set: 18:25
     2. set: 18:25
     3. set: 25:21
     4. set: 16:25
     ukupno: 77:96",OK KITRO VARAŽDIN  – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 7. ožujka 2020. u 16,00","1. set: 25:20
     2. set: 25:21
     3. set: 23:25
     4. set: 25:18
     ukupno: 98:84",OK SISAK – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 29. veljače 2020. u 14,15","1. set: 23:25
     2. set: 20:25
     3. set: 27:25
     4. set: 20:25
     ukupno: 90:100",OK MEDICINAR TRNJE – MOK MURSA - OSIJEK
otkazano,"Natjecanje:  SUPERLIGA – 3. SKUPINA (II. DIO) – seniori (2019./2020.),  4. kolo",OK ROVINJ – OK ZADAR
"Vrijeme početka: subota, 8. veljače 2020. u 18,30","1. set: 25:15
     2. set: 15:25
     3. set: 25:21
     4. set: 25:16
     ukupno: 90:77",MOK RIJEKA – OK KITRO VARAŽDIN
otkazano,"Natjecanje:  SUPERLIGA – 3. SKUPINA (II. DIO) – seniori (2019./2020.),  6. kolo",MOK MARSONIA – OK ROVINJ
otkazano,"Natjecanje:  SUPERLIGA – 3. SKUPINA (II. DIO) – seniori (2019./2020.),  3. kolo",OKM CENTROMETAL – MOK MARSONIA
"Vrijeme početka: subota, 7. ožujka 2020. u 19,00","1. set: 18:25
     2. set: 25:17
     3. set: 25:21
     4. set: 25:21
     ukupno: 93:84",OKM CENTROMETAL – OK ROVINJ
"Vrijeme početka: utorak, 10. ožujka 2020. u 20,00","1. set: 24:26
     2. set: 13:25
     3. set: 16:25
     ukupno: 53:76",MOK MURSA - OSIJEK – OK MLADOST RIBOLA KAŠTELA
"Vrijeme početka: nedjelja, 3. studenog 2019. u 16,00","1. set: 25:18
     2. set: 25:20
     3. set: 25:19
     ukupno: 75:57",OK KITRO VARAŽDIN  – OKM CENTROMETAL
"Vrijeme početka: subota, 29. veljače 2020. u 19,00","1. set: 20:25
     2. set: 9:25
     3. set: 16:25
     ukupno: 45:75",OK ROVINJ – OKM CENTROMETAL
"Vrijeme početka: nedjelja, 1. ožujka 2020. u 15,00","1. set: 23:25
     2. set: 18:25
     3. set: 17:25
     ukupno: 58:75",OK ZADAR – OK SISAK
